Ring,TripID,Sex,Year,DateTime,Longitude,Latitude,STATE
27,201204.1,F,2012,21/02/2012 08:29,497166.4231,138154.9822,1
27,201204.1,F,2012,21/02/2012 08:44,502398.5892,126463.8095,1
27,201204.1,F,2012,21/02/2012 08:59,513060.6782,116748.7865,1
27,201204.1,F,2012,21/02/2012 09:14,529917.2883,111497.9024,1
27,201204.1,F,2012,21/02/2012 09:29,545880.8896,105507.886,1
27,201204.1,F,2012,21/02/2012 09:44,560875.5088,97234.59118,2
27,201204.1,F,2012,21/02/2012 09:59,572110.472,87510.53052,2
27,201204.1,F,2012,21/02/2012 10:14,575968.8075,73615.80715,2
27,201204.1,F,2012,21/02/2012 10:29,574781.7481,58028.4829,1
27,201204.1,F,2012,21/02/2012 10:44,574322.4487,41259.27886,1
27,201204.1,F,2012,21/02/2012 10:59,574367.246,23636.24751,1
27,201204.1,F,2012,21/02/2012 11:14,575663.0605,5661.575149,2
27,201204.1,F,2012,21/02/2012 11:29,572762.7844,-1634.750278,2
27,201204.1,F,2012,21/02/2012 11:44,573141.8685,-2374.024434,2
27,201204.1,F,2012,21/02/2012 11:59,572472.7211,-3167.243869,2
27,201204.1,F,2012,21/02/2012 12:14,572564.4933,-8234.943028,2
27,201204.1,F,2012,21/02/2012 12:29,573317.0708,-9010.752085,2
27,201204.1,F,2012,21/02/2012 12:44,574120.3213,-9333.644555,2
27,201204.1,F,2012,21/02/2012 12:59,572448.9662,-12020.31838,2
27,201204.1,F,2012,21/02/2012 13:14,574949.965,-21977.49596,1
27,201204.1,F,2012,21/02/2012 13:29,588699.0913,-27684.34127,1
27,201204.1,F,2012,21/02/2012 13:44,600424.7891,-30645.87626,2
27,201204.1,F,2012,21/02/2012 13:59,603299.8455,-31437.47235,2
27,201204.1,F,2012,21/02/2012 14:14,603956.7405,-31813.91703,2
27,201204.1,F,2012,21/02/2012 14:29,608300.1458,-32461.13621,2
27,201204.1,F,2012,21/02/2012 14:44,611963.6304,-32807.59449,2
27,201204.1,F,2012,21/02/2012 14:59,613077.1501,-32905.18621,2
27,201204.1,F,2012,21/02/2012 15:14,614361.4745,-33193.88573,3
27,201204.1,F,2012,21/02/2012 15:29,615177.9214,-33461.18947,3
27,201204.1,F,2012,21/02/2012 15:44,616006.4287,-33689.87104,3
27,201204.1,F,2012,21/02/2012 15:59,616819.0934,-33863.59347,3
27,201204.1,F,2012,21/02/2012 16:14,617618.4371,-34027.12666,3
27,201204.1,F,2012,21/02/2012 16:29,618389.6744,-34169.60285,3
27,201204.1,F,2012,21/02/2012 16:44,619137.8314,-34285.31153,3
27,201204.1,F,2012,21/02/2012 16:59,619909.4554,-34354.73718,3
27,201204.1,F,2012,21/02/2012 17:14,620665.2007,-34422.41749,3
27,201204.1,F,2012,21/02/2012 17:29,621402.5827,-34527.44153,3
27,201204.1,F,2012,21/02/2012 17:44,622140.0253,-34634.02973,3
27,201204.1,F,2012,21/02/2012 17:59,622839.1902,-34733.69728,3
27,201204.1,F,2012,21/02/2012 18:14,623536.353,-34826.36499,3
27,201204.1,F,2012,21/02/2012 18:29,624266.3937,-34914.13595,3
27,201204.1,F,2012,21/02/2012 18:44,625004.4795,-34975.38539,3
27,201204.1,F,2012,21/02/2012 18:59,625754.4386,-35009.34386,3
27,201204.1,F,2012,21/02/2012 19:14,626507.4853,-35056.0486,3
27,201204.1,F,2012,21/02/2012 19:29,627233.6681,-35098.75658,3
27,201204.1,F,2012,21/02/2012 19:44,627936.8245,-35116.70816,3
27,201204.1,F,2012,21/02/2012 19:59,628591.6414,-35151.08669,3
27,201204.1,F,2012,21/02/2012 20:14,629241.6623,-35177.71004,3
27,201204.1,F,2012,21/02/2012 20:29,629862.4794,-35182.08489,3
27,201204.1,F,2012,21/02/2012 20:44,630441.5042,-35177.23884,3
27,201204.1,F,2012,21/02/2012 20:59,631032.7668,-35170.66285,2
27,201204.1,F,2012,21/02/2012 21:14,634767.3303,-34396.07435,2
27,201204.1,F,2012,21/02/2012 21:29,639365.5389,-33159.7151,3
27,201204.1,F,2012,21/02/2012 21:44,639573.7837,-33124.53917,3
27,201204.1,F,2012,21/02/2012 21:59,640083.8003,-33546.14191,3
27,201204.1,F,2012,21/02/2012 22:14,640601.5018,-33960.16164,3
27,201204.1,F,2012,21/02/2012 22:29,641092.2536,-34385.22726,3
27,201204.1,F,2012,21/02/2012 22:44,641549.1216,-34852.01154,3
27,201204.1,F,2012,21/02/2012 22:59,642024.6662,-35298.5953,3
27,201204.1,F,2012,21/02/2012 23:14,643862.3066,-35220.1531,2
27,201204.1,F,2012,21/02/2012 23:29,647937.0972,-34328.23091,1
27,201204.1,F,2012,21/02/2012 23:44,660398.5058,-31440.74751,1
27,201204.1,F,2012,21/02/2012 23:59,667424.7782,-29782.88578,2
27,201204.1,F,2012,22/02/2012 00:14,669383.5392,-29272.58762,2
27,201204.1,F,2012,22/02/2012 00:29,670239.1597,-29382.70283,2
27,201204.1,F,2012,22/02/2012 00:44,676464.3317,-28516.73798,2
27,201204.1,F,2012,22/02/2012 00:59,680360.1562,-27993.12904,1
27,201204.1,F,2012,22/02/2012 01:14,688535.4973,-28953.90057,1
27,201204.1,F,2012,22/02/2012 01:29,701559.8535,-30865.20969,1
27,201204.1,F,2012,22/02/2012 01:44,716546.675,-33533.82208,1
27,201204.1,F,2012,22/02/2012 01:59,728599.8172,-38089.57607,2
27,201204.1,F,2012,22/02/2012 02:14,737417.687,-44726.47688,2
27,201204.1,F,2012,22/02/2012 02:29,740906.1279,-54058.35262,1
27,201204.1,F,2012,22/02/2012 02:44,736618.8444,-67322.24097,1
27,201204.1,F,2012,22/02/2012 02:59,732267.3938,-78784.68929,2
27,201204.1,F,2012,22/02/2012 03:14,734491.1891,-86172.73456,2
27,201204.1,F,2012,22/02/2012 03:29,747101.2266,-92078.33495,1
27,201204.1,F,2012,22/02/2012 03:44,760846.9366,-97956.07631,1
27,201204.1,F,2012,22/02/2012 03:59,775074.5562,-102842.2685,1
27,201204.1,F,2012,22/02/2012 04:14,788756.9705,-105403.786,1
27,201204.1,F,2012,22/02/2012 04:29,798668.8809,-103501.2643,3
27,201204.1,F,2012,22/02/2012 04:44,799663.9675,-103333.1859,3
27,201204.1,F,2012,22/02/2012 04:59,800269.249,-103319.0553,3
27,201204.1,F,2012,22/02/2012 05:14,800876.9067,-103314.2427,3
27,201204.1,F,2012,22/02/2012 05:29,801541.1874,-103226.1065,3
27,201204.1,F,2012,22/02/2012 05:44,802155.7466,-103118.2083,3
27,201204.1,F,2012,22/02/2012 05:59,802776.4207,-103004.6674,3
27,201204.1,F,2012,22/02/2012 06:14,803387.3325,-102900.6421,3
27,201204.1,F,2012,22/02/2012 06:29,803939.4245,-102792.087,3
27,201204.1,F,2012,22/02/2012 06:44,804410.6638,-102708.855,3
27,201204.1,F,2012,22/02/2012 06:59,804803.419,-102676.1306,3
27,201204.1,F,2012,22/02/2012 07:14,805198.7976,-102635.3314,3
27,201204.1,F,2012,22/02/2012 07:29,805595.8017,-102564.587,2
27,201204.1,F,2012,22/02/2012 07:44,806085.3113,-101899.9459,3
27,201204.1,F,2012,22/02/2012 07:59,805801.5202,-101817.911,2
27,201204.1,F,2012,22/02/2012 08:14,800145.741,-106446.2113,2
27,201204.1,F,2012,22/02/2012 08:29,791625.4861,-115243.7735,2
