"Ring","Year","Sex","Age","ReproSuccess","boldness"
"126",2017,"F",39,1,-0.126003
"127",2012,"F",18,1,-0.2746
"127",2020,"F",26,1,-0.2746
"128",2013,"F",31,1,0.2070126
"128",2016,"F",34,1,0.2070126
"128",2019,"F",37,1,0.2070126
"129",2010,"F",9,1,0.1243703
"129",2013,"F",12,1,0.1243703
"130",2018,"M",17,1,-0.01817055
"131",2019,"F",18,1,0.4784928
"132",2013,"F",12,1,-0.5043926
"133",2016,"M",15,1,-1.022355
"134",2013,"F",12,1,0.1520144
"135",2013,"F",36,1,-0.1013035
"135",2019,"F",42,1,-0.1013035
"136",2013,"F",25,1,0.3759787
"137",2010,"F",15,0,-0.9368714
"138",2013,"F",30,1,-0.3038749
"138",2016,"F",33,1,-0.3038749
"139",2013,"F",34,1,2.389486
"140",2011,"F",9,1,-0.5934667
"140",2017,"F",15,1,-0.5934667
"141",2016,"M",14,1,-0.8751498
"142",2016,"M",14,1,0.4043632
"142",2019,"M",17,1,0.4043632
"143",2020,"F",18,1,-0.106469
"144",2013,"F",31,1,1.149388
"147",2014,"M",33,1,0.1707048
"148",2016,"M",31,0,-0.3709826
"149",2019,"M",38,1,-0.1055488
"150",2013,"M",31,1,-1.206608
"152",2013,"F",33,1,0.3767306
"153",2011,"M",28,1,0.1692324
"153",2013,"M",30,1,0.1692324
"153",2016,"M",33,1,0.1692324
"154",2018,"F",33,0,0.9385924
"155",2017,"F",36,0,0.1928081
"156",2013,"F",33,1,1.047009
"157",2017,"F",32,1,-0.5918078
"158",2012,"M",9,1,-0.3738034
"158",2017,"M",14,1,-0.3738034
"159",2016,"F",13,1,0.1951258
"159",2018,"F",15,1,0.1951258
"160",2018,"F",36,1,0.4867826
"161",2018,"M",39,0,-0.6439802
"162",2013,"M",31,0,-0.5807253
"162",2017,"M",35,0,-0.5807253
"163",2016,"F",13,1,0.6029877
"164",2012,"M",9,0,0.2250215
"164",2013,"M",10,1,0.2250215
"165",2016,"M",13,1,0.1124726
"166",2018,"F",15,1,0.2299576
"167",2019,"F",16,1,0.111716
"168",2018,"F",15,1,0.853044
"169",2017,"F",14,1,-1.074576
"169",2019,"F",16,1,-1.074576
"170",2016,"M",19,1,0.308481
"171",2018,"M",34,1,-0.7049793
"172",2015,"M",33,1,-0.6475033
"173",2014,"M",29,1,-0.1734457
"173",2018,"M",33,0,-0.05244772
"174",2016,"M",34,1,-0.1169616
"174",2018,"M",36,0,-0.1840527
"175",2013,"F",27,0,-0.681096
"176",2017,"F",47,0,-0.3653885
"177",2013,"M",33,1,-0.5957349
"178",2013,"F",31,1,1.745059
"179",2018,"M",38,1,-0.3242467
"180",2013,"F",10,1,0.04473124
